ـا,(possessive) her;(object) her,,pronoun; f.,,,,,,,1
شعْرا بِنّي.‌,Her hair is brown.,,,,,,,,,2
بيحِبّا.‌,He loves her.,,,,,,,,,3
آب,August,,noun (no plural),,,,,,,4
يارا لح تْسافِر بِآب.‌,Yara is traveling in August.,,,,,,,,,5
أبْحر,sail,,verb,imperfect,يِبْحُر,,,,,6
الشّخْطورة أبْحرِت الصُّبُح.‌,The boat sailed in the morning.,,,,,,,,,7
أبداً,never,,adverb,,,,,,,8
ما بْتِتِّصِل أبداً.‌,She never calls.,,,,,,,,,9
إبْرِة,needle,,noun,plural,إبر,,,,,10
مِش عم لاقي الإبْرِة.‌,I can't find the needle.,,,,,,,,,11
إبِن,son,,noun,plural,وْلاد,,,,,12
إبْني بِالمدْرسِة.‌,My son is at school.,,,,,,,,,13
أبْيَض,white,,adjective,feminine,بَيْضا,,plural,بيض,,14
شعِر جِدّي أبْيَض.‌,My grandfather's hair is white.,,,,,,,,,15
إتِّجاه,direction,,noun,,,,,,,16
أخد الإتِّجاه الغلط.‌,He went in the wrong direction.,,,,,,,,,17
إتِّصال,(phone) call,,noun,,,,,,,18
الإتِّصالات بِاللّيْل مجّانية.‌,Calls at night are free.,,,,,,,,,19
إجا,come,,verb,imperfect,يِجي,,,,,20
إجا خالي مِن فْرنْسا.‌,My uncle came from France.,,,,,,,,,21
أجار,rent,,noun,,,,,,,22
ما فِيو يِدْفع الأجار هَيْدا الشّهِر.‌,He can't pay the rent this month.,,,,,,,,,23
إجْتِماعي,social,,adjective,,,,,,,24
المشاكِل الإجْتِماعية بِتْزيد بِالِبْلاد الفقيرة.‌,Social problems increase in poor countries.,,,,,,,,,25
إجِر,leg;foot,,noun; f.,plural,إجْريْن,,,,,26
إجْرَيا بْيوجعوا بعْد الرّْياضة.‌,Her legs hurt after exercise.,,,,,,,,,27
إجْريْن البيْبي صْغار.‌,The baby's feet are small.,,,,,,,,,28
إجْمال,generality,,noun,,,,,,,29
بِالإجْمال‌,in general;generally,,adverb,,,,,,,30
"بِالإجْمال، بْحِبّ البِسس.‌",I generally love cats.,,,,,,,,,31
أجْنبي,foreign;foreigner,,adjective; noun,plural,أجانِب,,,,,32
خالي عايِش بِبلد أجْنبي.‌,My uncle lives in a foreign country.,,,,,,,,,33
الأجانِب ممْنوع يِشْتِغْلوا هوْن.‌,Foreigners are not allowed to work here.,,,,,,,,,34
أحد,Sunday,,noun,plural,إيّام الأحد,,,,,35
لازِم إشْتِغِل هَيْدا الأحد.‌,I have to work this Sunday.,,,,,,,,,36
الأحد‌,on Sunday(s),,adverb,,,,,,,37
أَوْقات بِشْتِغِل الأحد.‌,Sometimes I work on Sundays.,,,,,,,,,38
الأحد الجّايي‌,next Sunday,,adverb,,,,,,,39
يِمْكِن نِلْعب تِنِس الأحد الجّايي.‌,We might play tennis next Sunday.,,,,,,,,,40
كِلّ أحد‌,every Sunday,,adverb,,,,,,,41
بْزور جِدّي كِلّ أحد.‌,I visit my grandpa every Sunday.,,,,,,,,,42
إحْساس,feeling;emotion,,noun,plural,أحاسيس,,,,,43
خبِّت أحاسيسا.‌,She hid her feelings.,,,,,,,,,44
أحْسن,better;best,,elative,,,,,,,45
قْياس هَيْدي التّنورة أحْسن.‌,The size of this skirt is better.,,,,,,,,,46
أحْسن شي إنّك تْفِلّ.‌,It is best that you leave.,,,,,,,,,47
أحْمر,red,,adjective,feminine,حمْرا,,plural,حُمُر,,48
لِبْسِت تنّورة حمْرا.‌,She wore a red skirt.,,,,,,,,,49
إخِت,sister,,noun; f.,plural,خَيّات,,,,,50
بِتْحِبّ إخْتا.‌,She loves her sister.,,,,,,,,,51
إخْتِيار,choice,,noun,,,,,,,52
ما كان إخْتِيار سهِل.‌,It wasn't an easy choice.,,,,,,,,,53
أخد,take,,verb,imperfect,ياخُد,,,,,54
أخدِت المِفْتاح وَراحِت.‌,She took the key and left.,,,,,,,,,55
آخِر,end;the last __,,noun; adjective; invariable,plural,أَواخِر,,,,,56
بيعيشوا بِآخِر الشّارِع.‌,They live at the end of the street.,,,,,,,,,57
"آخِر مرّة شِفْتو، كان طُفُل.‌",The last time I saw him;he was a child.,,,,,,,,,58
أخْضر,green,,adjective,feminine,خضْرا,,plural,خُضُر,,59
بِشْرب شاي أخْضر لمّا إمْرض.‌,I drink green tea when I'm sick.,,,,,,,,,60
أخْوَت,foolish,,adjective,feminine,خَوْتا,,plural,خوت,,61
